id;company;market_sector_id;symbol;bdr;cnpj;main_activity;market_sector;website
143;BRPR 56 SEC;14;Nenhum ativo na B3;BR;06.137.677/0001-52;Não Informado;Financeiro / Securitizadoras de Recebíveis / Securitizadoras de Recebíveis;www.brpr.com.br
144;BRQ;16;BRQB3;BR;36.542.025/0001-64;Prestação de Serviços de Tecnologia Da Informação (ti) - Informática;Tecnologia da Informação / Programas e Serviços / Programas e Serviços;www.brq.com
145;BTGP BANCO;4;BPAC11;BR;30.306.294/0001-45;A Companhia E Suas Controladas Formam Um Grupo de Prestação de Serviços Financeiros Sediado No Brasil. Atuando Como Banco Múltiplo. Com Carteira de Investimento. Nos Termos Da Legislação Aplicável.;Financeiro / Intermediários Financeiros / Bancos;www.btgpactual.com
146;BTGP BANCO;4;BPAC3;BR;30.306.294/0001-45;A Companhia E Suas Controladas Formam Um Grupo de Prestação de Serviços Financeiros Sediado No Brasil. Atuando Como Banco Múltiplo. Com Carteira de Investimento. Nos Termos Da Legislação Aplicável.;Financeiro / Intermediários Financeiros / Bancos;www.btgpactual.com
147;BTGP BANCO;4;BPAC5;BR;30.306.294/0001-45;A Companhia E Suas Controladas Formam Um Grupo de Prestação de Serviços Financeiros Sediado No Brasil. Atuando Como Banco Múltiplo. Com Carteira de Investimento. Nos Termos Da Legislação Aplicável.;Financeiro / Intermediários Financeiros / Bancos;www.btgpactual.com
148;BV LEASING;4;Nenhum ativo na B3;BR;01.858.774/0001-10;Arrendamento Mercantil;Financeiro / Intermediários Financeiros / Soc. Arrendamento Mercantil;www.bancovotorantim.com.br
149;CABINDA PART;5;CABI3B;BR;04.030.182/0001-02;A Companhia Tem Por Objeto Social A Participação em Outras Sociedades. Comerciais E Civis. Como Sócia. Acionista Ou Quotista. No País Ou No Exterior.;Outros / Outros / Outros;www.cabinda.net.br
150;CACHOEIRA;3;Nenhum ativo na B3;BR;05.336.882/0001-84;Transmissão de Energia Elétrica.;Utilidade Pública / Energia Elétrica / Energia Elétrica;www.isoluxcorsan.com/cachoeirapaulista
151;CACONDE PART;5;CACO3B;BR;04.031.213/0001-31;A Companhia Tem Por Objeto Social A Participação em Outras Sociedades Comerciais E Civis. Como Sócia. Acionista Ou Quotista. No País Ou No Exterior.;Outros / Outros / Outros;www.cacondeparticipacoes.net.br
152;CAMBUCI;1;CAMB3;BR;61.088.894/0001-08;Não Informado;Consumo Cíclico / Tecidos. Vestuário e Calçados / Calçados;www.cambuci.com.br/investidores
